industry_id,industry
1,Aerospace & Defense
2,Air Freight & Logistics
3,Automobile Components
4,Automobiles
5,Beverages
6,Biotechnology
7,Broadline Retail
8,Building Products
9,Capital Markets
10,Chemicals
11,Commercial Services & Supplies
12,Communications Equipment
13,Construction & Engineering
14,Construction Materials
15,Consumer Finance
16,Consumer Staples Distribution & Retail
17,Containers & Packaging
18,Distributors
19,Diversified Consumer Services
20,Diversified Telecommunication Services
21,Electric Utilities
22,Electrical Equipment
23,"Electronic Equipment, Instruments & Components"
24,Energy Equipment & Services
25,Entertainment
26,Financial Services
27,Food Products
28,Gas Utilities
29,Ground Transportation
30,Health Care Equipment & Supplies
31,Health Care Providers & Services
32,Health Care Technology
33,Hotel & Resort REITs
34,"Hotels, Restaurants & Leisure"
35,Household Durables
36,Household Products
37,IT Services
38,Independent Power and Renewable Electricity Producers
39,Industrial Conglomerates
40,Insurance
41,Interactive Media & Services
42,Leisure Products
43,Life Sciences Tools & Services
44,Machinery
45,Marine Transportation
46,Media
47,Metals & Mining
48,Multi-Utilities
49,"Oil, Gas & Consumable Fuels"
50,Paper & Forest Products
51,Passenger Airlines
52,Personal Care Products
53,Pharmaceuticals
54,Professional Services
55,Real Estate Management & Development
56,Semiconductors & Semiconductor Equipment
57,Software
58,Specialty Retail
59,"Technology Hardware, Storage & Peripherals"
60,"Textiles, Apparel & Luxury Goods"
61,Tobacco
62,Trading Companies & Distributors
63,Transportation Infrastructure
64,Water Utilities
65,Wireless Telecommunication Services
